sku,name,description,price,currency,vat_rate,category,image_url,stock,safety_stock
BET-003,Yogur natural pack 4,"Yogur natural sin azúcar, textura cremosa, pack de 4 unidades",1.29,EUR,4.00,Lácteos,https://picsum.photos/seed/bet003/400/400,220,30
BET-004,Queso curado 250g,"Queso curado de oveja con sabor intenso, cortado en cuña",3.45,EUR,4.00,Lácteos,https://picsum.photos/seed/bet004/400/400,90,10
BET-005,Mantequilla 250g,"Mantequilla sin sal de calidad extra, ideal para cocinar y untar",1.89,EUR,4.00,Lácteos,https://picsum.photos/seed/bet005/400/400,110,15
BET-006,Nata para cocinar 200ml,Nata líquida para cocinar con 18% de materia grasa,0.79,EUR,4.00,Lácteos,https://picsum.photos/seed/bet006/400/400,150,20
BET-007,Queso fresco batido 250g,"Queso fresco batido suave, bajo en grasas y alto en proteínas",1.99,EUR,4.00,Lácteos,https://picsum.photos/seed/bet007/400/400,100,15
BET-008,Pan de molde integral,"Pan de molde integral con semillas, sin conservantes añadidos",1.49,EUR,4.00,Panadería y Cereales,https://picsum.photos/seed/bet008/400/400,200,25
BET-009,Cereales con miel 500g,"Copos de maíz tostados con miel, fuente de energía para el día",2.99,EUR,4.00,Panadería y Cereales,https://picsum.photos/seed/bet009/400/400,130,15
BET-010,Arroz largo 1kg,"Arroz de grano largo, suelto y suave tras la cocción",1.19,EUR,4.00,Panadería y Cereales,https://picsum.photos/seed/bet010/400/400,300,40
BET-011,Pasta espagueti 500g,"Espagueti de sémola de trigo duro, cocción perfecta en 8 min",0.89,EUR,4.00,Panadería y Cereales,https://picsum.photos/seed/bet011/400/400,250,30
BET-012,Avena en copos 500g,"Avena integral en copos, ideal para porridge y batidos",1.69,EUR,4.00,Panadería y Cereales,https://picsum.photos/seed/bet012/400/400,120,15
BET-013,Galletas María 200g,"Galletas María clásicas, crujientes y ligeramente dulces",0.85,EUR,4.00,Panadería y Cereales,https://picsum.photos/seed/bet013/400/400,280,35
BET-014,Agua mineral 1.5L,"Agua mineral natural de manantial, baja en sodio",0.45,EUR,4.00,Bebidas,https://picsum.photos/seed/bet014/400/400,400,50
BET-015,Zumo de naranja 1L,"Zumo de naranja 100% natural, sin azúcares añadidos",1.59,EUR,4.00,Bebidas,https://picsum.photos/seed/bet015/400/400,160,20
BET-016,Refresco de cola 2L,"Refresco de cola carbonatado, botella familiar de 2 litros",1.35,EUR,4.00,Bebidas,https://picsum.photos/seed/bet016/400/400,180,25
BET-017,Café molido 250g,"Café molido de tueste natural, mezcla arábica-robusta",3.99,EUR,4.00,Bebidas,https://picsum.photos/seed/bet017/400/400,80,10
BET-018,Té negro 20 bolsitas,"Té negro de Ceilán en bolsitas, aroma intenso y sabor equilibrado",1.29,EUR,4.00,Bebidas,https://picsum.photos/seed/bet018/400/400,140,15
BET-019,Batido de chocolate 1L,"Batido de cacao con leche entera, fuente de calcio y energía",1.49,EUR,4.00,Bebidas,https://picsum.photos/seed/bet019/400/400,120,15
BET-020,Manzanas golden 1kg,"Manzanas golden de primera calidad, dulces y crujientes",1.99,EUR,4.00,Frutas y Verduras,https://picsum.photos/seed/bet020/400/400,200,30
BET-021,Plátanos de Canarias 1kg,"Plátanos de Canarias con DO, dulces y con textura suave",1.29,EUR,4.00,Frutas y Verduras,https://picsum.photos/seed/bet021/400/400,180,25
BET-022,Tomates cherry 500g,"Tomates cherry maduros en rama, perfectos para ensaladas",1.09,EUR,4.00,Frutas y Verduras,https://picsum.photos/seed/bet022/400/400,220,30
BET-023,Patatas 2kg,"Patatas blancas de categoría I, ideales para freír y cocer",1.49,EUR,4.00,Frutas y Verduras,https://picsum.photos/seed/bet023/400/400,150,20
BET-024,Cebollas 1kg,"Cebollas blancas de tamaño mediano, sabor suave y versátil",0.79,EUR,4.00,Frutas y Verduras,https://picsum.photos/seed/bet024/400/400,200,25
BET-025,Naranjas de zumo 2kg,"Naranjas valencianas jugosas, perfectas para zumo recién exprimido",2.49,EUR,4.00,Frutas y Verduras,https://picsum.photos/seed/bet025/400/400,160,20
BET-026,Pechuga de pollo 500g,"Pechuga de pollo fresca sin hueso ni piel, baja en grasa",3.99,EUR,4.00,Carnes y Pescados,https://picsum.photos/seed/bet026/400/400,70,10
BET-027,Carne picada mixta 400g,"Mezcla de cerdo y ternera, ideal para hamburguesas y salsas",2.99,EUR,4.00,Carnes y Pescados,https://picsum.photos/seed/bet027/400/400,60,10
BET-028,Filetes de merluza 400g,"Filetes de merluza del norte sin espinas, frescos y limpios",4.99,EUR,4.00,Carnes y Pescados,https://picsum.photos/seed/bet028/400/400,50,8
